21.0,1.200915,1.004985,2.5979,21.550237,18.151416,15.153794,0.702795
22.0,1.19684,1.004977,2.605711,21.70111,18.202317,15.247553,0.702594
23.0,1.192779,1.004973,2.613474,21.852359,18.252779,15.341307,0.702397
24.0,1.188734,1.004973,2.62123,22.003728,18.302876,15.435086,0.702202
25.0,1.184709,1.004977,2.629023,22.154958,18.352683,15.528921,0.702007
26.0,1.180708,1.004982,2.636895,22.305791,18.402276,15.622843,0.701812
27.0,1.176733,1.004988,2.644886,22.45597,18.451729,15.716881,0.701615
28.0,1.172788,1.004994,2.653039,22.605236,18.501118,15.811067,0.701415
29.0,1.168876,1.004998,2.661397,22.753332,18.550516,15.905429,0.70121
30.0,1.165,1.005,2.67,22.9,18.6,16.0,0.701
31.0,1.161163,1.004999,2.678873,23.04505,18.649628,16.094805,0.700783
32.0,1.157363,1.004995,2.687963,23.188569,18.699395,16.189856,0.700563
33.0,1.153598,1.00499,2.697199,23.330708,18.749279,16.285159,0.700341
34.0,1.149864,1.004984,2.706511,23.471623,18.799261,16.380724,0.70012
35.0,1.146161,1.004979,2.715827,23.611466,18.849318,16.476556,0.699905
36.0,1.142484,1.004976,2.725078,23.750393,18.89943,16.572664,0.699697
37.0,1.138833,1.004976,2.734191,23.888555,18.949575,16.669055,0.6995
38.0,1.135203,1.004979,2.743096,24.026108,18.999732,16.765736,0.699316
39.0,1.131593,1.004986,2.751723,24.163205,19.049881,16.862716,0.699148
40.0,1.128,1.005,2.76,24.3,19.1,16.96,0.699
41.0,1.124422,1.00502,2.767879,24.436661,19.150073,17.057596,0.698873
42.0,1.12086,1.005043,2.775398,24.573416,19.200104,17.155505,0.698764
43.0,1.117314,1.005067,2.78262,24.710509,19.250104,17.253725,0.698668
44.0,1.113784,1.005089,2.789606,24.848181,19.300081,17.352258,0.698581
45.0,1.110272,1.005105,2.796417,24.986677,19.350045,17.451103,0.698499
46.0,1.106779,1.005113,2.803115,25.126238,19.400005,17.55026,0.698416
